Pugilist	2,0,0,-1,-1	7,0,0,0,0,0,0,0,0,0	9,4,3,5,2	2	0	0
Woodsman	1,1,0,0,-2	0,5,0,2,0,0,0,0,0,0	8,4,3,4,2	0	2	0
Warrior	1,0,1,-2,0	1,0,5,0,1,0,0,0,0,0	8,5,4,4,3	1	2	0
Scout	0,2,-1,0,-1	0,1,0,5,1,0,0,0,0,0	7,5,4,4,3	1	1	1
Defender	0,-1,2,-1,0	1,0,1,0,5,0,0,0,0,0	7,5,4,3,3	0	3	0
Man-At-Large	0,1,-2,1,0	0,0,0,1,1,5,0,0,0,0	7,4,5,3,4	2	4	2
Bard	0,-2,1,0,1	0,0,0,0,0,2,5,0,0,0	7,4,5,3,4	1	0	3
Salesman	-1,0,-1,2,0	0,0,0,0,0,1,1,5,0,0	6,4,5,2,4	0	2	4
Enchanter	-1,-1,0,0,2	0,0,0,0,0,0,2,0,5,0	6,3,5,2,5	2	3	5
Monk	-2,0,0,1,1	0,0,0,0,0,0,0,1,1,5	5,3,3,1,5	1	1	6
Fauna	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0	-1	-1	7
